gloss,num_samples,min_T,max_T,mean_T,median_T,mean_duration_at_20fps_sec
a,7,21,106,55.71428680419922,52.0,2.7857143878936768
a lot,7,26,81,53.71428680419922,46.0,2.6857142448425293
abdomen,8,25,71,53.125,54.0,2.65625
able,7,32,75,54.28571319580078,56.0,2.7142856121063232
about,11,29,98,57.0,55.0,2.8499999046325684
above,7,15,103,64.28571319580078,68.0,3.2142856121063232
accent,6,27,37,33.5,33.5,1.6749999523162842
accept,9,26,125,56.0,46.0,2.799999952316284
accident,17,12,104,56.70588302612305,51.0,2.835294246673584
accomplish,7,28,117,61.14285659790039,44.0,3.057142734527588
accountant,5,50,111,78.5999984741211,75.0,3.929999828338623
across,10,18,76,53.79999923706055,55.0,2.690000057220459
act,5,35,96,68.19999694824219,70.0,3.4099998474121094
action,6,42,91,69.83333587646484,73.0,3.491666793823242
active,8,18,102,62.5,63.0,3.125
activity,6,33,91,55.83333206176758,55.0,2.7916665077209473
actor,7,48,95,68.57142639160156,69.0,3.4285712242126465
adapt,7,30,139,77.42857360839844,68.0,3.8714287281036377
add,8,24,101,56.75,47.5,2.8375000953674316
address,7,36,77,56.85714340209961,58.0,2.8428571224212646
adjective,6,35,152,73.66666412353516,65.0,3.683333158493042
adjust,6,44,87,67.5,69.0,3.375
admire,6,31,117,74.16666412353516,81.0,3.7083332538604736
admit,6,33,117,64.5,63.0,3.2249999046325684
adopt,7,26,89,50.42856979370117,34.0,2.5214285850524902
adult,9,31,103,58.0,45.0,2.9000000953674316
advanced,7,23,107,57.42856979370117,52.0,2.8714284896850586
advantage,7,28,106,57.28571319580078,48.0,2.864285707473755
adverb,7,37,128,74.42857360839844,71.0,3.721428632736206
affect,7,30,126,73.0,63.0,3.6500000953674316
afraid,8,18,84,51.5,56.0,2.575000047683716
africa,15,36,124,64.86666870117188,61.0,3.243333339691162
after,10,3,106,54.900001525878906,60.0,2.745000123977661
afternoon,9,5,106,59.66666793823242,65.0,2.9833333492279053
again,12,35,89,64.91666412353516,68.0,3.245833158493042
